Time,Length,ARTT,Status
2024-06-26 16:11:50,94914,46,1
2024-06-26 16:11:50,109661,46,1
2024-06-26 16:11:53,400,28,0
2024-06-26 16:11:53,788,76,1
2024-06-26 16:11:53,39766,46,1
2024-06-26 16:11:53,45698,46,1
2024-06-26 16:11:57,400,45,0
2024-06-26 16:11:57,788,22,0
2024-06-26 16:11:57,40,19,0
2024-06-26 16:11:57,71,48,1
2024-06-26 16:11:57,40080,46,1
2024-06-26 16:11:57,47784,46,1
2024-06-26 16:11:57,120,39,0
2024-06-26 16:11:57,117,37,0
2024-06-26 16:12:00,520,44,0
2024-06-26 16:12:00,788,59,1
2024-06-26 16:12:00,25522,40,0
2024-06-26 16:12:00,44874,46,1
2024-06-26 16:12:00,73103,46,1
2024-06-26 16:12:00,80,39,0
2024-06-26 16:12:01,40,28,0
2024-06-26 16:12:01,271,17,0
2024-06-26 16:12:02,100,27,0
2024-06-26 16:12:02,228,38,0
2024-06-26 16:12:02,128,28,0
2024-06-26 16:12:03,640,49,1
2024-06-26 16:12:03,788,22,0
2024-06-26 16:12:03,40,37,0
2024-06-26 16:12:03,2411,20,0
2024-06-26 16:12:03,120,21,0
2024-06-26 16:12:03,430,25,0
2024-06-26 16:12:03,70112,46,1
2024-06-26 16:12:03,54614,46,1
2024-06-26 16:12:03,40,26,0
2024-06-26 16:12:03,8156,26,0
2024-06-26 16:12:03,80,38,0
2024-06-26 16:12:03,3490,71,1
2024-06-26 16:12:04,8360,42,0
2024-06-26 16:12:04,5593,32,0
2024-06-26 16:12:04,40,22,0
2024-06-26 16:12:04,5952,35,0
2024-06-26 16:12:04,40,19,0
2024-06-26 16:12:04,64,28,0
2024-06-26 16:12:04,1065203,34,0
2024-06-26 16:12:04,1360643,34,0
2024-06-26 16:12:04,40,26,0
2024-06-26 16:12:04,2285,26,0
2024-06-26 16:12:04,80,32,0
2024-06-26 16:12:05,6440,42,0
2024-06-26 16:12:05,4800,45,0
2024-06-26 16:12:05,40,38,0
2024-06-26 16:12:05,64,56,1
2024-06-26 16:12:05,1072859,34,0
2024-06-26 16:12:05,1666868,34,0
2024-06-26 16:12:05,120,32,0
2024-06-26 16:12:07,120,26,0
2024-06-26 16:12:07,40,19,0
2024-06-26 16:12:11,800,42,0
2024-06-26 16:12:11,788,22,0
2024-06-26 16:12:11,81184,46,1
2024-06-26 16:12:11,100749,46,1
2024-06-26 16:12:14,1080,45,0
2024-06-26 16:12:14,788,61,1
2024-06-26 16:12:14,112708,46,1
2024-06-26 16:12:14,144296,46,1
2024-06-26 16:12:17,1040,52,1
2024-06-26 16:12:17,788,26,0
2024-06-26 16:12:17,100164,46,1
2024-06-26 16:12:17,146469,46,1
2024-06-26 16:12:20,788,28,0
2024-06-26 16:12:20,80,46,1
2024-06-26 16:12:21,3080,37,0
2024-06-26 16:12:21,474254,46,1
2024-06-26 16:12:21,717292,46,1
2024-06-26 16:12:27,1040,45,0
2024-06-26 16:12:27,1576,47,1
2024-06-26 16:12:27,122682,46,1
2024-06-26 16:12:27,170268,46,1
2024-06-26 16:12:29,220,34,0
2024-06-26 16:12:29,3893,67,1
2024-06-26 16:12:29,40,17,0
2024-06-26 16:12:29,248,35,0
2024-06-26 16:12:29,5734,30,0
2024-06-26 16:12:29,80,24,0
2024-06-26 16:12:31,1080,36,0
2024-06-26 16:12:31,788,30,0
2024-06-26 16:12:31,131498,46,1
2024-06-26 16:12:31,156641,46,1
2024-06-26 16:12:35,840,38,0
2024-06-26 16:12:35,788,26,0
2024-06-26 16:12:35,68844,46,1
2024-06-26 16:12:35,98969,46,1
2024-06-26 16:12:39,640,47,1
2024-06-26 16:12:39,1576,38,0
2024-06-26 16:12:39,94334,46,1
2024-06-26 16:12:39,112178,46,1
2024-06-26 16:12:42,440,39,0
2024-06-26 16:12:42,788,39,0
2024-06-26 16:12:42,83204,46,1
2024-06-26 16:12:42,65465,46,1
2024-06-26 16:12:50,560,32,0
2024-06-26 16:12:50,788,107,1
2024-06-26 16:12:50,73536,46,1
2024-06-26 16:12:50,116626,46,1
2024-06-26 16:12:55,640,69,1
2024-06-26 16:12:55,788,20,0
2024-06-26 16:12:55,87002,46,1
2024-06-26 16:12:55,107795,46,1
2024-06-26 16:13:00,1040,32,0
2024-06-26 16:13:00,1576,40,0
2024-06-26 16:13:00,40,25,0
2024-06-26 16:13:00,8702,47,1
2024-06-26 16:13:00,174704,46,1
2024-06-26 16:13:00,205237,46,1
2024-06-26 16:13:00,80,37,0
2024-06-26 16:13:00,271,37,0
2024-06-26 16:13:04,40,26,0
2024-06-26 16:13:09,80,34,0
2024-06-26 16:13:29,40,22,0
2024-06-26 16:14:00,40,23,0
2024-06-26 16:14:00,80,46,1
2024-06-26 16:14:00,40,31,0
2024-06-26 16:14:00,117,36,0
2024-06-26 16:14:01,40,28,0
2024-06-26 16:14:01,71,46,1
2024-06-26 16:14:01,80,31,0
2024-06-26 16:14:03,140,27,0
2024-06-26 16:14:03,1510,22,0
2024-06-26 16:14:03,168,40,0
2024-06-26 16:14:03,6372,40,0
2024-06-26 16:14:04,40,17,0
2024-06-26 16:14:04,1035,40,0
2024-06-26 16:14:41,220,50,1
2024-06-26 16:14:41,2795,26,0
2024-06-26 16:14:41,288,39,0
2024-06-26 16:14:41,6117,33,0
2024-06-26 16:15:06,40,40,0
2024-06-26 16:15:41,40,219,1
2024-06-26 16:15:41,2191,42,0
2024-06-26 16:15:41,40,18,0
2024-06-26 16:15:41,271,21,0
2024-06-26 16:15:59,180,34,0
2024-06-26 16:15:59,10911,77,1
2024-06-26 16:15:59,248,23,0
2024-06-26 16:15:59,6412,23,0
2024-06-26 16:16:00,40,96,1
2024-06-26 16:16:00,931,23,0
2024-06-26 16:16:02,60,38,0
2024-06-26 16:16:02,240,37,0
2024-06-26 16:16:02,1750,23,0
2024-06-26 16:16:02,256,23,0
2024-06-26 16:16:02,6161,23,0
2024-06-26 16:16:03,640,33,0
2024-06-26 16:16:03,3552,42,0
2024-06-26 16:16:03,200,33,0
2024-06-26 16:16:03,3544,50,1
2024-06-26 16:16:03,320,35,0
2024-06-26 16:16:03,14232,29,0
2024-06-26 16:16:03,100,30,0
2024-06-26 16:16:03,244,28,0
2024-06-26 16:16:03,40,31,0
2024-06-26 16:16:03,2287,38,0
2024-06-26 16:16:03,712,29,0
2024-06-26 16:16:03,19592,29,0
2024-06-26 16:16:03,288,42,0
2024-06-26 16:16:03,7995,42,0
2024-06-26 16:16:03,240,23,0
2024-06-26 16:16:03,28496,23,0
2024-06-26 16:16:03,88,33,0
2024-06-26 16:16:03,40,39,0
2024-06-26 16:16:03,271,19,0
2024-06-26 16:16:04,8040,46,1
2024-06-26 16:16:04,7410,46,1
2024-06-26 16:16:04,40,26,0
2024-06-26 16:16:04,733,173,1
2024-06-26 16:16:04,180,39,0
2024-06-26 16:16:04,3069,64,1
2024-06-26 16:16:04,540,47,1
2024-06-26 16:16:04,9961,34,0
2024-06-26 16:16:04,7380,39,0
2024-06-26 16:16:04,1415,32,0
2024-06-26 16:16:04,160,38,0
2024-06-26 16:16:04,1068,51,1
