Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-08-25 22:57:55,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80c::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,659,16
2024-08-25 22:57:55,2a00:1450:4016:809::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,US,California,San Francisco,AS15169 Google LLC,-122.4194,37.7749,Cable,393,15
2024-08-25 22:57:55,2a00:1450:4016:80c::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,324,16
2024-08-25 22:57:56,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80c::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,101,16
2024-08-25 22:57:56,2a00:1450:4016:80c::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,249,16
2024-08-25 22:57:58,fe80::b2f2:8ff:fe17:5b89,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,ICMPv6,DE,Bavaria,Munich,Deutsche Telekom,48.12979433960958,11.583302258050129,Cable,86,16
2024-08-25 22:58:02,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80c::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,651,16
2024-08-25 22:58:02,2a00:1450:4016:80c::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,1480,15
2024-08-25 22:58:03,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2600:1901:1:566::,TCP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,86,17
2024-08-25 22:58:03,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2600:1901:1:566::,TLSv1.2,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,129,17
2024-08-25 22:58:03,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,14294,16
2024-08-25 22:58:03,2600:1901:1:566::,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,TLSv1.2,US,California,Mountain View,AS396982 Google LLC,-122.0775,37.4056,Cable,126,16
2024-08-25 22:58:03,2a00:1450:4005:4::7,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,NL,Groningen,Groningen,AS15169 Google LLC,6.5667,53.2192,Cable,1489827,15
2024-08-25 22:58:04,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,79928,15
