Time,Length,ARTT,Status
2024-07-18 10:13:53,220,24,0
2024-07-18 10:13:53,1206,41,0
2024-07-18 10:13:53,180,28,0
2024-07-18 10:13:53,557,46,1
2024-07-18 10:13:53,267,57,1
2024-07-18 10:13:53,400,30,0
2024-07-18 10:13:53,1015,28,0
2024-07-18 10:13:53,140,32,0
2024-07-18 10:13:53,1328,28,0
2024-07-18 10:13:53,2873,33,0
2024-07-18 10:13:53,180,24,0
2024-07-18 10:13:53,2264,29,0
2024-07-18 10:13:53,220,23,0
2024-07-18 10:13:53,2578,29,0
2024-07-18 10:13:53,208,40,0
2024-07-18 10:13:53,1746,40,0
2024-07-18 10:13:53,88,18,0
2024-07-18 10:13:53,6724,18,0
2024-07-18 10:13:53,186,16,0
2024-07-18 10:13:53,416,27,0
2024-07-18 10:13:53,1087,49,1
2024-07-18 10:13:53,168,29,0
2024-07-18 10:13:53,1466,15,0
2024-07-18 10:13:53,6275,22,0
2024-07-18 10:13:53,288,22,0
2024-07-18 10:13:53,6725,22,0
2024-07-18 10:13:53,408,43,0
2024-07-18 10:13:53,2327,43,0
2024-07-18 10:13:54,79,76,1
2024-07-18 10:13:54,40,43,0
2024-07-18 10:13:54,621,43,0
2024-07-18 10:13:55,7671,31,0
2024-07-18 10:13:55,140,42,0
2024-07-18 10:13:55,1127,27,0
2024-07-18 10:13:55,2516,40,0
2024-07-18 10:13:55,128,40,0
2024-07-18 10:13:55,424,40,0
2024-07-18 10:13:56,140,27,0
2024-07-18 10:13:56,3540,26,0
2024-07-18 10:13:56,3486,40,0
2024-07-18 10:13:56,1549,32,0
2024-07-18 10:13:56,40,33,0
2024-07-18 10:13:56,248,34,0
2024-07-18 10:13:56,1010,27,0
2024-07-18 10:13:56,11247,43,0
2024-07-18 10:13:56,5734,40,0
2024-07-18 10:13:56,1014,40,0
2024-07-18 10:13:57,5430,31,0
2024-07-18 10:13:57,300,28,0
2024-07-18 10:13:57,2258,18,0
2024-07-18 10:13:57,1909,24,0
2024-07-18 10:13:57,3926,26,0
2024-07-18 10:13:57,7861,31,0
2024-07-18 10:13:57,180,25,0
2024-07-18 10:13:57,2595,29,0
2024-07-18 10:13:57,6738,32,0
2024-07-18 10:13:57,6492,31,0
2024-07-18 10:13:57,12964,28,0
2024-07-18 10:13:57,2188,29,0
2024-07-18 10:13:57,2192,37,0
2024-07-18 10:13:57,2196,27,0
2024-07-18 10:13:57,7646,21,0
2024-07-18 10:13:57,328,35,0
2024-07-18 10:13:57,1432,24,0
2024-07-18 10:13:57,8592,32,0
2024-07-18 10:13:57,9808,43,0
2024-07-18 10:13:57,256948,40,0
2024-07-18 10:13:57,248,40,0
2024-07-18 10:13:57,6946,40,0
2024-07-18 10:13:57,291314,18,0
2024-07-18 10:13:57,226354,29,0
2024-07-18 10:13:57,756027,34,0
2024-07-18 10:13:57,6045,17,0
2024-07-18 10:13:57,6053,16,0
2024-07-18 10:13:57,6054,15,0
2024-07-18 10:13:58,2388,36,0
2024-07-18 10:13:58,568,25,0
2024-07-18 10:13:58,2868,40,0
2024-07-18 10:13:58,390154,34,0
2024-07-18 10:13:59,294,41,0
2024-07-18 10:13:59,3998,43,0
2024-07-18 10:14:00,1844,31,0
2024-07-18 10:14:00,260501,18,0
2024-07-18 10:14:01,1268,45,0
2024-07-18 10:14:01,4584,26,0
2024-07-18 10:14:01,547,28,0
2024-07-18 10:14:01,17330,27,0
2024-07-18 10:14:01,3450,27,0
2024-07-18 10:14:01,1200,32,0
2024-07-18 10:14:01,7131,27,0
2024-07-18 10:14:01,101362,18,0
2024-07-18 10:14:01,7746,37,0
2024-07-18 10:14:02,348,27,0
2024-07-18 10:14:02,3139,27,0
2024-07-18 10:14:02,181,29,0
2024-07-18 10:14:02,220,16,0
2024-07-18 10:14:02,1102,36,0
2024-07-18 10:14:02,3105,32,0
2024-07-18 10:14:02,120,24,0
2024-07-18 10:14:02,479821,18,0
2024-07-18 10:14:02,479,37,0
2024-07-18 10:14:02,168,39,0
2024-07-18 10:14:02,976,39,0
2024-07-18 10:14:02,1882319,34,0
2024-07-18 10:14:02,810,19,0
2024-07-18 10:14:02,210,19,0
2024-07-18 10:14:03,2280,28,0
2024-07-18 10:14:03,3702,33,0
2024-07-18 10:14:03,2664,40,0
2024-07-18 10:14:03,503,34,0
2024-07-18 10:14:07,3762,32,0
2024-07-18 10:14:07,87910,34,0
2024-07-18 10:14:08,3256,30,0
2024-07-18 10:14:08,2067727,34,0
