"No.","Time","Source","Destination","Protocol","Length","Info"
"51","3.167431480","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"52","3.242604763","142.251.0.109","192.168.0.3","TCP","66","465  >  54704 [ACK] Seq=1 Ack=518 Win=268288 Len=0 TSval=1934619608 TSecr=2822363360"
"53","3.242881129","142.251.0.109","192.168.0.3","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"54","3.242904003","192.168.0.3","142.251.0.109","TCP","66","54704  >  465 [ACK] Seq=518 Ack=1401 Win=67584 Len=0 TSval=2822363467 TSecr=1934619608"
"55","3.242907850","142.251.0.109","192.168.0.3","TCP","1466","465  >  54704 [PSH, ACK] Seq=1401 Ack=518 Win=268800 Len=1400 TSval=1934619608 TSecr=2822363360 [TCP segment of a reassembled PDU]"
"56","3.242920855","192.168.0.3","142.251.0.109","TCP","66","54704  >  465 [ACK] Seq=518 Ack=2801 Win=70656 Len=0 TSval=2822363467 TSecr=1934619608"
"57","3.243011147","142.251.0.109","192.168.0.3","TLSv1.3","1403","Application Data"
"58","3.243032117","192.168.0.3","142.251.0.109","TCP","66","54704  >  465 [ACK] Seq=518 Ack=4138 Win=73728 Len=0 TSval=2822363467 TSecr=1934619608"
"59","3.243813516","192.168.0.3","142.251.0.109","TLSv1.3","176","Change Cipher Spec, Application Data, Application Data"
"60","3.314738534","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"61","3.354824903","142.251.0.109","192.168.0.3","TCP","66","465  >  54704 [ACK] Seq=4138 Ack=628 Win=268800 Len=0 TSval=1934619721 TSecr=2822363468"
"62","3.521530904","142.251.0.109","192.168.0.3","TLSv1.3","707","Application Data, Application Data"
"63","3.521719313","192.168.0.3","142.251.0.109","TLSv1.3","104","Application Data"
"64","3.629073403","142.251.0.109","192.168.0.3","TCP","66","465  >  54704 [ACK] Seq=4779 Ack=666 Win=268800 Len=0 TSval=1934619995 TSecr=2822363745"
"65","3.801132051","142.251.0.109","192.168.0.3","TLSv1.3","311","Application Data"
"66","3.801227312","192.168.0.3","142.251.0.109","TLSv1.3","100","Application Data"
"67","3.908066461","142.251.0.109","192.168.0.3","TCP","66","465  >  54704 [ACK] Seq=5024 Ack=700 Win=268800 Len=0 TSval=1934620274 TSecr=2822364025"
"68","4.078894485","142.251.0.109","192.168.0.3","TLSv1.3","94","Application Data"
"69","4.078983635","192.168.0.3","142.251.0.109","TLSv1.3","142","Application Data"
"70","4.102756454","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"71","4.105739297","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"72","4.167482714","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"73","4.186102346","142.251.0.109","192.168.0.3","TCP","66","465  >  54704 [ACK] Seq=5052 Ack=776 Win=268800 Len=0 TSval=1934620552 TSecr=2822364303"
"74","4.448817223","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2001:12ff:0:7::186","NTP","110","NTP Version 4, client"
"75","4.510151882","2001:12ff:0:7::186","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","NTP","110","NTP Version 4, server"
"76","4.514621753","142.251.0.109","192.168.0.3","TLSv1.3","108","Application Data"
"77","4.514735549","192.168.0.3","142.251.0.109","TLSv1.3","121","Application Data"
"78","4.514746671","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"79","4.622148090","142.251.0.109","192.168.0.3","TCP","66","465  >  54704 [ACK] Seq=5094 Ack=831 Win=268800 Len=0 TSval=1934620988 TSecr=2822364738"
"80","4.698251495","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2001:12ff::8","NTP","110","NTP Version 4, client"
"81","4.757501070","2001:12ff::8","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","NTP","110","NTP Version 4, server"
"82","4.794971376","142.251.0.109","192.168.0.3","TLSv1.3","151","Application Data"
"83","4.795051038","192.168.0.3","142.251.0.109","TLSv1.3","119","Application Data"
"84","4.902102310","142.251.0.109","192.168.0.3","TCP","66","465  >  54704 [ACK] Seq=5179 Ack=884 Win=268800 Len=0 TSval=1934621268 TSecr=2822365019"
"85","5.073001392","142.251.0.109","192.168.0.3","TLSv1.3","151","Application Data"
"86","5.073081204","192.168.0.3","142.251.0.109","TLSv1.3","94","Application Data"
"87","5.102798097","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"88","5.105739408","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"89","5.167678564","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"90","5.181556408","142.251.0.109","192.168.0.3","TCP","66","465  >  54704 [ACK] Seq=5264 Ack=912 Win=268800 Len=0 TSval=1934621547 TSecr=2822365297"
"91","5.508576404","142.251.0.109","192.168.0.3","TLSv1.3","151","Application Data"
"92","5.508718064","192.168.0.3","142.251.0.109","TLSv1.3","778","Application Data"
"93","5.508766076","192.168.0.3","142.251.0.109","TLSv1.3","93","Application Data"
"94","5.516524939","2800:3f0:4004:813::200a","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","UDP","774","443  >  60152 Len=712"
"95","5.542158417","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:813::200a","UDP","95","60152  >  443 Len=33"
"96","5.616051504","142.251.0.109","192.168.0.3","TCP","66","465  >  54704 [ACK] Seq=5349 Ack=1624 Win=268288 Len=0 TSval=1934621982 TSecr=2822365732"
"97","5.616051654","142.251.0.109","192.168.0.3","TCP","66","465  >  54704 [ACK] Seq=5349 Ack=1651 Win=268288 Len=0 TSval=1934621982 TSecr=2822365733"
"98","5.622391315","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2001:12f8:b:1::8","NTP","110","NTP Version 4, client"
"99","5.650757937","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"100","5.695668399","2001:12f8:b:1::8","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","NTP","110","NTP Version 4, server"
"101","6.102831824","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"102","6.105736454","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"103","6.167710827","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"104","6.178734217","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"105","6.248445992","192.168.0.3","177.37.220.9","NTP","90","NTP Version 4, client"
"106","6.263624764","177.37.220.9","192.168.0.3","NTP","90","NTP Version 4, server"
"107","6.331205722","142.251.0.109","192.168.0.3","TLSv1.3","163","Application Data"
"108","6.331327394","192.168.0.3","142.251.0.109","TLSv1.3","94","Application Data"
"109","6.438652477","142.251.0.109","192.168.0.3","TCP","66","465  >  54704 [ACK] Seq=5446 Ack=1679 Win=268288 Len=0 TSval=1934622804 TSecr=2822366555"
"110","6.519063014","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2001:12ff:0:7::197","NTP","110","NTP Version 4, client"
"111","6.580011233","2001:12ff:0:7::197","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","NTP","110","NTP Version 4, server"
"112","6.609578471","142.251.0.109","192.168.0.3","TLSv1.3","167","Application Data"
"113","6.609678973","192.168.0.3","142.251.0.109","TLSv1.3","90","Application Data"
"114","6.609746992","192.168.0.3","142.251.0.109","TCP","66","54704  >  465 [FIN, ACK] Seq=1703 Ack=5547 Win=78848 Len=0 TSval=2822366834 TSecr=1934622975"
"115","6.610425033","142.251.0.109","192.168.0.3","TCP","66","465  >  54704 [FIN, ACK] Seq=5547 Ack=1679 Win=268288 Len=0 TSval=1934622975 TSecr=2822366555"
"116","6.610448608","192.168.0.3","142.251.0.109","TCP","66","54704  >  465 [ACK] Seq=1704 Ack=5548 Win=78848 Len=0 TSval=2822366834 TSecr=1934622975"
"117","6.610679247","192.168.0.3","142.251.0.109","TCP","74","54712  >  465 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2822366834 TSecr=0 WS=1024"
"118","6.674730445","192.168.0.3","189.1.173.219","TCP","66","42638  >  443 [ACK] Seq=1 Ack=1 Win=76 Len=0 TSval=4005812311 TSecr=3311056529"
"119","6.715677611","142.251.0.109","192.168.0.3","TCP","60","465  >  54704 [RST] Seq=5547 Win=0 Len=0"
"120","6.715831393","142.251.0.109","192.168.0.3","TCP","60","465  >  54704 [RST] Seq=5548 Win=0 Len=0"
"121","6.715936734","142.251.0.109","192.168.0.3","TCP","60","465  >  54704 [RST] Seq=5547 Win=0 Len=0"
"122","6.721459580","142.251.0.109","192.168.0.3","TCP","74","465  >  54712 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=1817052386 TSecr=2822366834 WS=256"
"123","6.721488865","192.168.0.3","142.251.0.109","TCP","66","54712  >  465 [ACK] Seq=1 Ack=1 Win=64512 Len=0 TSval=2822366945 TSecr=1817052386"
"124","6.721844984","192.168.0.3","142.251.0.109","TLSv1.3","583","Client Hello (SNI=smtp.gmail.com)"
"125","6.730905025","189.1.173.219","192.168.0.3","TCP","66","[TCP ACKed unseen segment] 443  >  42638 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=3311066769 TSecr=4005802149"
"126","6.753293463","189.1.173.219","192.168.0.3","TCP","66","[TCP Keep-Alive] 443  >  42638 [ACK] Seq=0 Ack=2 Win=501 Len=0 TSval=3311066792 TSecr=4005802149"
"127","6.753301559","192.168.0.3","189.1.173.219","TCP","66","[TCP Previous segment not captured] 42638  >  443 [ACK] Seq=2 Ack=1 Win=76 Len=0 TSval=4005812389 TSecr=3311066769"
"128","6.834607120","142.251.0.109","192.168.0.3","TCP","66","465  >  54712 [ACK] Seq=1 Ack=518 Win=268288 Len=0 TSval=1817052499 TSecr=2822366946"
